CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
24009860802,Maryland,Calvert County,1,4863,1758,0,10.0,0.21,0,0,0,0,1,0,8.8,103607.0,1,1,1,1,1,0,0,1,4863.0,4863.0,4863.0,807.0,807.0,807.0,4863.0,100.0,807.0,16.6,1244.0,25.58,563.0,11.58,4206.0,86.49,463.0,9.52,31.0,0.64,0.0,0.0,16.0,0.33,147.0,3.02,156.0,3.21,111.0,6.31,168.0,9.58,4863.0,100.0,807.0,16.6,1244.0,25.58,563.0,11.58,4206.0,86.49,463.0,9.52,31.0,0.64,0.0,0.0,16.0,0.33,147.0,3.02,156.0,3.21,111.0,6.31,168.0,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.0,1244.0,563.0,4206.0,463.0,31.0,0.0,16.0,147.0,156.0,101.0,170.0
24009860900,Maryland,Calvert County,0,7693,3020,0,139.0,1.81,0,0,0,0,0,0,4.7,104224.0,0,0,0,0,0,0,0,0,,,,,,,6171.0,80.21,1310.0,17.03,1516.0,19.7,749.0,9.74,4424.0,57.5,1430.0,18.59,69.0,0.89,6.0,0.08,27.0,0.35,215.0,2.79,194.0,2.52,54.0,1.79,77.0,2.56,4681.0,60.85,1035.0,13.46,1214.0,15.78,484.0,6.29,3263.0,42.41,1169.0,15.2,48.0,0.62,5.0,0.07,25.0,0.33,171.0,2.23,151.0,1.96,24.0,0.78,56.0,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1387.0,1690.0,1484.0,5727.0,1589.0,94.0,6.0,28.0,249.0,210.0,109.0,101.0
24009861001,Maryland,Calvert County,1,1304,466,0,0.0,0.0,0,0,0,0,0,0,2.0,138500.0,1,1,1,1,1,0,0,0,1261.0,1297.0,1261.0,39.0,41.0,39.0,1297.0,99.47,41.0,3.11,339.0,25.98,142.0,10.89,1144.0,87.73,106.0,8.13,18.0,1.38,2.0,0.15,3.0,0.23,24.0,1.84,36.0,2.76,0.0,0.0,5.0,1.0,1261.0,96.71,39.0,3.02,333.0,25.56,141.0,10.78,1112.0,85.24,103.0,7.89,18.0,1.38,2.0,0.15,3.0,0.22,24.0,1.84,36.0,2.75,0.0,0.0,5.0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,340.0,142.0,1151.0,106.0,18.0,2.0,3.0,24.0,36.0,0.0,4.0
24009861003,Maryland,Calvert County,1,6615,2342,0,0.0,0.0,1,1,1,0,0,1,10.0,89727.0,1,1,1,1,1,0,0,0,5074.0,6106.0,5074.0,1256.0,1389.0,1256.0,6106.0,92.3,1389.0,21.0,1643.0,24.84,606.0,9.16,5024.0,75.95,705.0,10.66,87.0,1.31,8.0,0.12,21.0,0.32,261.0,3.94,216.0,3.27,93.0,3.99,307.0,13.09,5074.0,76.71,1256.0,18.98,1342.0,20.29,534.0,8.08,4219.0,63.78,558.0,8.43,75.0,1.13,6.0,0.09,17.0,0.26,200.0,3.02,169.0,2.55,73.0,3.11,259.0,11.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.0,1766.0,706.0,5382.0,833.0,88.0,8.0,22.0,282.0,233.0,99.0,313.0
24009861004,Maryland,Calvert County,1,7234,2345,0,3.0,0.04,0,0,0,0,0,0,6.9,95781.0,1,1,1,1,1,0,0,0,5731.0,7000.0,5731.0,918.0,1128.0,918.0,7000.0,96.76,1128.0,15.59,2170.0,29.99,356.0,4.92,5570.0,77.0,977.0,13.51,73.0,1.01,5.0,0.06,39.0,0.54,335.0,4.64,312.0,4.32,15.0,0.63,162.0,6.91,5731.0,79.22,918.0,12.69,1764.0,24.38,297.0,4.11,4586.0,63.4,749.0,10.36,62.0,0.85,1.0,0.01,34.0,0.47,299.0,4.13,277.0,3.83,6.0,0.24,134.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114.0,2252.0,372.0,5753.0,1009.0,73.0,5.0,39.0,355.0,319.0,14.0,171.0
24011955000,Maryland,Caroline County,0,3348,1073,0,0.0,0.0,0,0,0,0,0,1,19.3,59861.0,0,0,0,0,0,0,0,0,29.0,29.0,,15.0,15.0,,3348.0,100.0,1656.0,49.45,881.0,26.31,330.0,9.86,2387.0,71.3,131.0,3.91,11.0,0.33,20.0,0.6,17.0,0.51,782.0,23.36,923.0,27.57,50.0,4.69,172.0,16.01,3348.0,100.0,1656.0,49.45,881.0,26.31,330.0,9.86,2387.0,71.3,131.0,3.91,11.0,0.33,20.0,0.6,17.0,0.51,782.0,23.36,923.0,27.57,50.0,4.69,172.0,16.01,29.0,0.87,15.0,0.44,6.0,0.17,4.0,0.11,24.0,0.72,2.0,0.05,0.0,0.01,0.0,0.0,0.0,0.0,3.0,0.1,3.0,0.1,1.0,0.05,2.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.0,881.0,330.0,2387.0,131.0,11.0,20.0,17.0,782.0,923.0,52.0,176.0
24011955100,Maryland,Caroline County,0,5619,2058,0,3.0,0.05,0,0,0,1,1,1,14.6,61422.0,0,0,0,0,0,0,0,1,,,,,,,5046.0,89.8,1506.0,26.81,1280.0,22.78,581.0,10.34,4453.0,79.24,350.0,6.23,18.0,0.32,13.0,0.24,24.0,0.43,188.0,3.34,223.0,3.98,150.0,7.28,343.0,16.66,3321.0,59.1,831.0,14.8,801.0,14.25,409.0,7.27,3036.0,54.03,177.0,3.14,10.0,0.18,4.0,0.07,11.0,0.19,84.0,1.49,101.0,1.8,82.0,3.97,225.0,10.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866.0,1446.0,643.0,4903.0,418.0,28.0,27.0,25.0,218.0,269.0,170.0,382.0
24011955201,Maryland,Caroline County,0,3773,1311,0,119.0,3.15,0,0,0,0,0,1,17.2,68254.0,0,0,0,0,0,0,0,0,,,,,,,3773.0,100.0,1316.0,34.88,1077.0,28.54,398.0,10.55,2953.0,78.27,631.0,16.72,10.0,0.27,1.0,0.03,16.0,0.42,162.0,4.29,173.0,4.59,90.0,6.87,225.0,17.16,3773.0,100.0,1316.0,34.88,1077.0,28.54,398.0,10.55,2953.0,78.27,631.0,16.72,10.0,0.27,1.0,0.03,16.0,0.42,162.0,4.29,173.0,4.59,90.0,6.87,225.0,17.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273.0,1077.0,398.0,2953.0,631.0,10.0,1.0,16.0,162.0,173.0,94.0,240.0
24011955202,Maryland,Caroline County,0,2110,802,0,8.0,0.38,0,0,0,0,0,0,6.5,84712.0,0,0,0,0,0,0,0,0,,,,,,,2110.0,100.0,674.0,31.93,432.0,20.47,320.0,15.17,1915.0,90.76,117.0,5.55,18.0,0.85,0.0,0.0,12.0,0.57,48.0,2.27,43.0,2.04,18.0,2.21,75.0,9.3,2106.0,99.8,673.0,31.88,432.0,20.47,316.0,14.99,1911.0,90.55,117.0,5.55,18.0,0.85,0.0,0.0,12.0,0.57,48.0,2.27,43.0,2.04,18.0,2.2,74.0,9.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.0,432.0,320.0,1915.0,117.0,18.0,0.0,12.0,48.0,43.0,18.0,73.0
24011955301,Maryland,Caroline County,0,4111,1466,0,94.0,2.29,0,0,0,0,0,0,12.6,86189.0,0,0,0,0,0,0,0,0,,,,,,,4055.0,98.63,1019.0,24.8,1013.0,24.64,636.0,15.48,3518.0,85.58,387.0,9.41,27.0,0.65,1.0,0.02,13.0,0.32,108.0,2.64,102.0,2.47,48.0,3.3,175.0,11.95,3570.0,86.85,893.0,21.73,885.0,21.52,574.0,13.96,3135.0,76.26,309.0,7.52,23.0,0.56,0.0,0.01,12.0,0.3,91.0,2.2,83.0,2.02,43.0,2.92,154.0,10.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.0,1030.0,639.0,3571.0,389.0,28.0,1.0,13.0,109.0,102.0,48.0,178.0
24011955302,Maryland,Caroline County,1,3128,1195,0,218.0,6.97,1,1,1,1,1,1,20.3,46306.0,1,1,1,1,1,0,0,1,560.0,2174.0,560.0,313.0,1064.0,313.0,2174.0,69.52,1064.0,34.01,577.0,18.44,239.0,7.63,1427.0,45.63,647.0,20.68,16.0,0.51,2.0,0.06,11.0,0.35,71.0,2.28,51.0,1.64,112.0,9.35,169.0,14.12,560.0,17.9,313.0,10.01,176.0,5.63,39.0,1.25,305.0,9.77,229.0,7.31,9.0,0.3,0.0,0.0,0.0,0.0,16.0,0.52,6.0,0.2,24.0,2.0,36.0,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364.0,778.0,496.0,2245.0,736.0,18.0,2.0,15.0,112.0,78.0,157.0,258.0
24011955400,Maryland,Caroline County,0,2097,800,0,0.0,0.0,0,0,0,0,0,1,7.2,74464.0,0,0,0,0,0,0,0,0,,,,,,,2097.0,100.0,485.0,23.11,442.0,21.08,290.0,13.83,1874.0,89.37,177.0,8.44,5.0,0.24,1.0,0.05,7.0,0.33,33.0,1.57,23.0,1.1,41.0,5.18,47.0,5.85,2097.0,100.0,485.0,23.11,442.0,21.08,290.0,13.83,1874.0,89.37,177.0,8.44,5.0,0.24,1.0,0.05,7.0,0.33,33.0,1.57,23.0,1.1,41.0,5.18,47.0,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.0,442.0,290.0,1874.0,177.0,5.0,1.0,7.0,33.0,23.0,42.0,47.0
24011955500,Maryland,Caroline County,0,4044,1559,0,0.0,0.0,0,0,0,0,0,1,7.5,76979.0,0,0,0,0,0,0,0,0,,,,,,,4044.0,100.0,958.0,23.69,929.0,22.97,625.0,15.45,3336.0,82.49,577.0,14.27,22.0,0.54,1.0,0.02,8.0,0.2,100.0,2.47,59.0,1.46,24.0,1.54,141.0,9.05,4044.0,100.0,958.0,23.69,929.0,22.97,625.0,15.45,3336.0,82.49,577.0,14.27,22.0,0.54,1.0,0.02,8.0,0.2,100.0,2.47,59.0,1.46,24.0,1.54,141.0,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.0,929.0,625.0,3336.0,577.0,22.0,1.0,8.0,100.0,59.0,24.0,141.0
24011955600,Maryland,Caroline County,1,4836,1894,0,0.0,0.0,1,1,1,1,1,1,21.5,49565.0,1,1,1,1,1,0,0,1,2450.0,4246.0,2450.0,1001.0,1843.0,1001.0,4246.0,87.8,1843.0,38.1,1156.0,23.9,596.0,12.32,2910.0,60.17,1161.0,24.02,44.0,0.91,0.0,0.0,9.0,0.18,122.0,2.53,115.0,2.38,154.0,8.14,621.0,32.78,2450.0,50.67,1001.0,20.71,635.0,13.13,362.0,7.48,1742.0,36.02,626.0,12.94,23.0,0.47,0.0,0.0,2.0,0.05,57.0,1.18,60.0,1.24,84.0,4.43,362.0,19.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988.0,1332.0,672.0,3212.0,1409.0,48.0,0.0,10.0,157.0,146.0,154.0,622.0
24013501001,Maryland,Carroll County,1,4112,1376,0,0.0,0.0,0,0,0,0,0,0,10.3,91500.0,1,1,1,1,1,0,0,0,1217.0,3338.0,1217.0,273.0,773.0,273.0,3338.0,81.17,773.0,18.8,1035.0,25.17,292.0,7.1,3062.0,74.45,161.0,3.92,18.0,0.43,1.0,0.02,4.0,0.09,92.0,2.25,97.0,2.36,61.0,4.47,152.0,11.03,1217.0,29.6,273.0,6.64,332.0,8.08,133.0,3.23,1154.0,28.06,34.0,0.83,8.0,0.2,1.0,0.02,1.0,0.01,20.0,0.48,25.0,0.61,20.0,1.44,61.0,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.0,1293.0,341.0,3756.0,198.0,31.0,1.0,7.0,119.0,124.0,85.0,200.0
24013501002,Maryland,Carroll County,1,5337,2096,0,58.0,1.09,0,0,0,0,0,0,5.6,82578.0,1,1,1,1,1,0,0,0,2908.0,3704.0,2908.0,606.0,785.0,606.0,3704.0,69.4,785.0,14.7,808.0,15.14,580.0,10.86,3571.0,66.91,45.0,0.85,18.0,0.33,2.0,0.04,2.0,0.04,66.0,1.23,62.0,1.16,48.0,2.28,85.0,4.06,2908.0,54.49,606.0,11.36,631.0,11.83,469.0,8.79,2814.0,52.72,26.0,0.5,14.0,0.26,2.0,0.04,2.0,0.04,50.0,0.93,47.0,0.88,40.0,1.91,68.0,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162.0,1136.0,1050.0,5054.0,122.0,23.0,2.0,4.0,132.0,97.0,67.0,130.0
24013502000,Maryland,Carroll County,0,4148,1518,0,0.0,0.0,0,0,0,0,0,0,3.5,99750.0,0,0,0,0,0,0,0,0,,,,,,,4148.0,100.0,536.0,12.93,938.0,22.61,545.0,13.14,4048.0,97.59,33.0,0.8,9.0,0.22,1.0,0.02,10.0,0.24,47.0,1.13,57.0,1.37,6.0,0.42,80.0,5.27,4148.0,99.99,536.0,12.93,938.0,22.61,545.0,13.14,4048.0,97.58,33.0,0.8,9.0,0.22,1.0,0.02,10.0,0.24,47.0,1.13,57.0,1.37,6.0,0.42,80.0,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.0,938.0,545.0,4048.0,33.0,9.0,1.0,10.0,47.0,57.0,6.0,75.0
24013503000,Maryland,Carroll County,0,5505,1995,0,0.0,0.0,0,0,0,0,0,0,7.7,97383.0,0,0,0,0,0,0,0,0,,,,,,,5256.0,95.48,589.0,10.71,1162.0,21.1,748.0,13.6,5067.0,92.04,57.0,1.03,35.0,0.63,3.0,0.05,21.0,0.38,74.0,1.35,66.0,1.21,42.0,2.12,109.0,5.47,4743.0,86.17,546.0,9.92,1054.0,19.14,673.0,12.22,4570.0,83.02,53.0,0.96,30.0,0.54,3.0,0.05,20.0,0.37,68.0,1.23,61.0,1.11,41.0,2.03,98.0,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,1218.0,790.0,5310.0,58.0,37.0,3.0,21.0,76.0,67.0,39.0,109.0
24013504100,Maryland,Carroll County,1,5120,1846,0,0.0,0.0,0,0,0,0,0,0,1.9,132537.0,1,1,1,1,1,0,0,0,4796.0,4998.0,4796.0,216.0,225.0,216.0,4998.0,97.62,225.0,4.39,1143.0,22.32,686.0,13.41,4671.0,91.24,160.0,3.12,78.0,1.52,0.0,0.0,8.0,0.16,81.0,1.59,74.0,1.45,46.0,2.48,67.0,3.61,4796.0,93.68,216.0,4.21,1100.0,21.49,656.0,12.81,4483.0,87.55,152.0,2.96,77.0,1.5,0.0,0.0,8.0,0.16,77.0,1.5,72.0,1.4,43.0,2.35,64.0,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,1166.0,700.0,4785.0,164.0,78.0,0.0,9.0,84.0,76.0,46.0,66.0
24013504201,Maryland,Carroll County,1,6198,2213,0,3.0,0.05,0,0,0,0,0,0,1.8,121030.0,1,1,1,1,1,0,0,0,5183.0,5927.0,5183.0,336.0,365.0,336.0,5927.0,95.63,365.0,5.88,1449.0,23.38,827.0,13.34,5655.0,91.25,88.0,1.42,81.0,1.31,2.0,0.03,6.0,0.1,95.0,1.53,90.0,1.46,67.0,3.04,78.0,3.51,5183.0,83.62,336.0,5.42,1260.0,20.33,731.0,11.79,4951.0,79.88,75.0,1.21,67.0,1.09,2.0,0.03,6.0,0.09,83.0,1.33,78.0,1.26,65.0,2.92,68.0,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,1522.0,862.0,5911.0,91.0,86.0,2.0,6.0,102.0,92.0,76.0,83.0
24013504202,Maryland,Carroll County,1,6169,2170,0,9.0,0.15,0,0,0,0,0,0,5.8,131536.0,1,1,1,1,1,0,0,0,6169.0,6169.0,6169.0,378.0,378.0,378.0,6169.0,100.0,378.0,6.12,1482.0,24.02,881.0,14.28,5874.0,95.22,136.0,2.2,75.0,1.22,0.0,0.0,6.0,0.1,78.0,1.26,60.0,0.97,0.0,0.0,161.0,7.42,6169.0,100.0,378.0,6.12,1482.0,24.02,881.0,14.28,5874.0,95.22,136.0,2.2,75.0,1.22,0.0,0.0,6.0,0.1,78.0,1.26,60.0,0.97,0.0,0.0,161.0,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0,1482.0,881.0,5874.0,136.0,75.0,0.0,6.0,78.0,60.0,0.0,162.0
24013505101,Maryland,Carroll County,1,4347,1383,0,0.0,0.0,0,0,0,0,0,0,4.9,133958.0,1,1,1,1,1,0,0,0,2485.0,4069.0,2485.0,220.0,335.0,220.0,4069.0,93.61,335.0,7.7,1267.0,29.14,378.0,8.7,3695.0,85.0,244.0,5.6,67.0,1.54,0.0,0.0,7.0,0.16,57.0,1.32,80.0,1.84,37.0,2.7,62.0,4.46,2485.0,57.16,220.0,5.07,741.0,17.05,275.0,6.32,2261.0,52.01,140.0,3.23,40.0,0.93,0.0,0.0,4.0,0.1,39.0,0.9,51.0,1.17,23.0,1.65,39.0,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.0,1360.0,386.0,3954.0,253.0,72.0,0.0,8.0,60.0,88.0,40.0,66.0
24013505102,Maryland,Carroll County,1,5156,1763,0,0.0,0.0,0,0,0,0,0,0,2.1,136019.0,1,1,1,1,1,0,0,0,2396.0,4053.0,2396.0,274.0,375.0,274.0,4053.0,78.61,375.0,7.27,1011.0,19.6,551.0,10.69,3857.0,74.8,68.0,1.32,56.0,1.08,0.0,0.0,13.0,0.25,60.0,1.16,51.0,0.99,16.0,0.88,12.0,0.67,2396.0,46.47,274.0,5.31,552.0,10.71,383.0,7.42,2292.0,44.45,35.0,0.68,25.0,0.49,0.0,0.0,9.0,0.18,34.0,0.66,31.0,0.61,13.0,0.74,7.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.0,1279.0,689.0,4893.0,88.0,81.0,0.0,13.0,81.0,67.0,19.0,16.0
24013505203,Maryland,Carroll County,1,3723,1045,0,833.0,22.37,0,0,0,0,0,0,11.6,124750.0,1,1,1,1,1,0,0,0,775.0,1851.0,775.0,116.0,302.0,116.0,1851.0,49.71,302.0,8.12,297.0,7.98,104.0,2.8,1217.0,32.68,581.0,15.6,30.0,0.79,0.0,0.0,3.0,0.08,21.0,0.55,37.0,0.99,12.0,1.11,10.0,0.97,775.0,20.82,116.0,3.12,5.0,0.14,14.0,0.37,251.0,6.75,514.0,13.8,9.0,0.24,0.0,0.0,0.0,0.0,1.0,0.03,2.0,0.06,0.0,0.02,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.0,826.0,276.0,2915.0,636.0,98.0,0.0,11.0,63.0,107.0,34.0,31.0
24013505205,Maryland,Carroll County,1,3050,1032,0,0.0,0.0,0,0,0,0,0,0,2.2,118295.0,0,1,0,1,0,0,0,0,351.0,2087.0,351.0,55.0,338.0,55.0,2087.0,68.42,338.0,11.07,574.0,18.82,134.0,4.38,1973.0,64.69,45.0,1.49,21.0,0.7,0.0,0.0,1.0,0.02,46.0,1.52,38.0,1.25,15.0,1.41,60.0,5.8,351.0,11.52,55.0,1.8,103.0,3.37,22.0,0.72,333.0,10.92,5.0,0.17,3.0,0.11,0.0,0.0,0.0,0.0,10.0,0.31,4.0,0.14,3.0,0.25,10.0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,883.0,190.0,2815.0,87.0,69.0,0.0,1.0,78.0,67.0,34.0,107.0
24013505206,Maryland,Carroll County,1,3481,1272,0,0.0,0.0,0,0,0,0,0,0,2.9,128906.0,1,1,1,1,1,0,0,0,1889.0,2718.0,1889.0,82.0,118.0,82.0,2718.0,78.09,118.0,3.38,742.0,21.31,402.0,11.56,2534.0,72.78,49.0,1.42,64.0,1.83,2.0,0.05,6.0,0.17,64.0,1.83,43.0,1.25,15.0,1.21,1.0,0.06,1889.0,54.27,82.0,2.37,542.0,15.58,216.0,6.21,1747.0,50.19,37.0,1.06,48.0,1.38,0.0,0.0,3.0,0.08,54.0,1.55,30.0,0.87,4.0,0.34,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,901.0,635.0,3263.0,59.0,78.0,2.0,7.0,72.0,56.0,28.0,1.0
24013505207,Maryland,Carroll County,1,3683,1308,0,6.0,0.16,0,0,0,0,0,0,0.8,121528.0,1,1,1,1,1,0,0,0,1136.0,3059.0,1136.0,77.0,187.0,77.0,3059.0,83.06,187.0,5.07,945.0,25.65,174.0,4.73,2770.0,75.22,100.0,2.72,102.0,2.77,0.0,0.0,3.0,0.08,83.0,2.26,101.0,2.75,15.0,1.15,36.0,2.79,1136.0,30.83,77.0,2.09,381.0,10.35,75.0,2.04,1044.0,28.34,35.0,0.96,35.0,0.94,0.0,0.0,2.0,0.05,20.0,0.55,18.0,0.5,6.0,0.45,12.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.0,1124.0,199.0,3326.0,119.0,130.0,0.0,7.0,101.0,118.0,18.0,47.0
24013505208,Maryland,Carroll County,1,5277,1963,0,237.0,4.49,0,0,0,0,1,0,1.9,129375.0,1,1,1,1,1,0,0,1,5277.0,5277.0,5277.0,256.0,256.0,256.0,5277.0,100.0,256.0,4.85,1438.0,27.25,849.0,16.09,4862.0,92.14,175.0,3.32,122.0,2.31,1.0,0.02,11.0,0.21,106.0,2.01,149.0,2.82,193.0,9.84,27.0,1.36,5277.0,100.0,256.0,4.85,1438.0,27.25,849.0,16.09,4862.0,92.14,175.0,3.32,122.0,2.31,1.0,0.02,11.0,0.21,106.0,2.01,149.0,2.82,193.0,9.84,27.0,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,1438.0,849.0,4862.0,175.0,122.0,1.0,11.0,106.0,149.0,176.0,25.0
24013506101,Maryland,Carroll County,0,4679,1570,0,104.0,2.22,0,0,0,0,0,0,1.9,114224.0,0,0,0,0,0,0,0,0,,,,,,,3233.0,69.1,179.0,3.82,856.0,18.29,361.0,7.72,3047.0,65.13,68.0,1.46,50.0,1.06,4.0,0.09,4.0,0.08,60.0,1.28,55.0,1.18,16.0,1.01,33.0,2.09,2379.0,50.85,130.0,2.78,632.0,13.51,291.0,6.22,2240.0,47.88,46.0,0.99,38.0,0.81,3.0,0.07,3.0,0.06,48.0,1.03,37.0,0.78,10.0,0.66,24.0,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,1216.0,588.0,4418.0,83.0,68.0,4.0,4.0,102.0,103.0,26.0,45.0
24013506102,Maryland,Carroll County,0,3880,1357,0,21.0,0.54,0,0,0,0,0,0,3.2,100595.0,0,0,0,0,0,0,0,0,,,,,,,3497.0,90.14,328.0,8.45,856.0,22.05,432.0,11.14,3332.0,85.88,70.0,1.8,42.0,1.07,1.0,0.03,3.0,0.08,50.0,1.29,62.0,1.61,25.0,1.81,53.0,3.9,2333.0,60.13,228.0,5.87,548.0,14.13,323.0,8.32,2242.0,57.77,33.0,0.85,29.0,0.75,1.0,0.03,1.0,0.04,27.0,0.7,30.0,0.79,20.0,1.46,35.0,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0,954.0,464.0,3674.0,85.0,45.0,2.0,3.0,71.0,93.0,28.0,62.0
24013506200,Maryland,Carroll County,0,5444,1957,0,3.0,0.06,0,0,0,0,0,0,6.8,95644.0,0,0,0,0,0,0,0,0,,,,,,,5120.0,94.04,996.0,18.3,1178.0,21.65,696.0,12.78,4938.0,90.7,86.0,1.58,25.0,0.46,5.0,0.09,1.0,0.02,65.0,1.19,74.0,1.36,33.0,1.71,174.0,8.91,4324.0,79.44,712.0,13.09,1009.0,18.53,579.0,10.63,4197.0,77.09,59.0,1.09,23.0,0.42,5.0,0.09,1.0,0.02,40.0,0.73,47.0,0.86,28.0,1.43,145.0,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.0,1247.0,746.0,5238.0,91.0,25.0,7.0,1.0,82.0,90.0,37.0,186.0
